"","newData.data.Town.Village_Code","Cluster"
"398",613145,1
"399",613146,1
"400",613147,1
"401",613148,1
"402",613149,1
"403",613150,1
"404",613151,1
"405",613152,1
"406",613153,1
"407",613154,1
"408",613155,1
"409",613156,1
"410",613157,1
"411",613158,1
"412",613159,1
"413",613160,1
"414",613161,1
"415",613162,2
"416",613163,1
"417",613164,1
"418",613165,1
"419",613166,1
"420",613167,1
"421",613168,2
"422",613169,1
"423",613170,1
"424",613171,1
"425",613172,1
"426",613173,1
"427",613174,1
"428",613175,1
"429",613176,1
"430",613177,1
"431",613178,1
"432",613179,1
"433",613180,1
"434",613181,1
"435",613182,1
"436",613183,1
"437",613184,1
"438",613185,1
"439",613186,1
"440",613187,1
"441",613188,1
"442",613189,1
"443",613190,1
"444",613191,1
"445",613192,1
"446",613193,1
"447",613194,1
"448",613195,1
"449",613196,1
"450",613197,1
"451",613198,1
"452",613199,1
"453",613200,1
"454",613201,1
"455",613202,1
"456",613203,1
"457",613204,1
"458",613205,1
"459",613206,1
"460",613207,1
"461",613208,1
"462",613209,1
"463",613210,1
"464",613211,1
"465",613212,1
"466",613213,1
"467",613214,1
"468",613215,1
"469",613216,1
"470",613217,1
"471",613218,1
"472",613219,1
"473",613220,1
"474",613221,1
"475",613222,1
"476",613223,1
"477",613224,1
"478",613225,1
"479",613226,1
"480",613227,1
"481",613228,1
"482",613229,1
"483",613230,1
"484",613231,1
"485",613232,1
"486",613233,1
"487",613234,1
"488",613235,1
"489",613236,1
"490",613237,1
"491",613238,1
"492",613239,1
"493",613240,1
"494",613241,1
"495",613242,1
"496",613243,1
"497",613244,1
"498",613245,1
"499",613246,1
"500",613247,1
"501",613248,1
"502",613249,1
"503",613250,1
"504",613251,1
"505",613252,1
"506",613253,1
"507",613254,2
"508",613255,2
"509",613256,2
"510",613257,1
"511",613258,1
"512",613259,1
"513",613260,1
"514",613261,1
"515",613262,2
"516",613263,2
"517",613264,2
"518",613265,1
"519",613266,1
"520",613267,1
"521",613268,1
"522",613269,1
"523",613270,1
"524",613271,1
"525",613272,1
"526",613273,2
"527",613274,1
"528",613275,1
"529",613276,1
"530",613277,1
"531",613278,1
"532",613279,1
"533",613280,1
"534",613281,1
"535",613282,1
"536",613283,1
"537",613284,1
"538",613285,1
"539",613286,1
"540",613287,1
"541",613288,1
"542",613289,1
"543",613290,1
"544",613291,1
"545",613292,1
"546",613293,1
"547",613294,1
"548",613295,1
"549",613296,1
"550",613297,1
"551",613298,1
"552",613299,1
"553",613300,1
"554",613301,1
"555",613302,1
"556",613303,1
"557",613304,1
"558",613305,1
"559",613306,1
"560",613307,1
"561",613308,1
"562",613309,1
"563",613310,1
"564",613311,1
"565",613312,1
"566",613313,1
"567",613314,1
"568",613315,1
"569",613316,1
"570",613317,1
"571",613318,1
"572",613319,1
"573",613320,1
"574",613321,1
"575",613322,1
"576",613323,1
"577",613324,1
"578",613325,1
"579",613326,1
"580",613327,1
"581",613328,1
"582",613329,1
"583",613330,1
"584",613331,1
"585",613332,1
"586",613333,1
"587",613334,1
"588",613335,1
"589",613336,1
"590",613337,1
"591",613338,1
"592",613339,1
"593",613340,1
"594",613341,1
"595",613342,1
"596",613343,1
"597",613344,1
"598",613345,1
"599",613346,1
"600",613347,1
"601",613348,1
"602",613349,1
"603",613350,1
"604",613351,1
"605",613352,1
"606",613353,1
"607",613354,2
"608",613355,2
"609",613356,2
"610",613357,2
"611",613358,2
"612",613359,2
"613",613360,2
