"","newData.data.Town.Village_Code","Cluster"
"398",613145,3
"399",613146,3
"400",613147,3
"401",613148,2
"402",613149,3
"403",613150,2
"404",613151,2
"405",613152,3
"406",613153,3
"407",613154,3
"408",613155,3
"409",613156,3
"410",613157,2
"411",613158,3
"412",613159,3
"413",613160,3
"414",613161,2
"415",613162,4
"416",613163,2
"417",613164,3
"418",613165,3
"419",613166,2
"420",613167,3
"421",613168,1
"422",613169,2
"423",613170,3
"424",613171,3
"425",613172,3
"426",613173,3
"427",613174,3
"428",613175,3
"429",613176,3
"430",613177,3
"431",613178,3
"432",613179,3
"433",613180,2
"434",613181,3
"435",613182,2
"436",613183,3
"437",613184,2
"438",613185,2
"439",613186,3
"440",613187,3
"441",613188,3
"442",613189,3
"443",613190,2
"444",613191,3
"445",613192,2
"446",613193,3
"447",613194,3
"448",613195,3
"449",613196,3
"450",613197,3
"451",613198,3
"452",613199,3
"453",613200,3
"454",613201,3
"455",613202,3
"456",613203,3
"457",613204,3
"458",613205,3
"459",613206,3
"460",613207,3
"461",613208,2
"462",613209,3
"463",613210,3
"464",613211,3
"465",613212,3
"466",613213,3
"467",613214,3
"468",613215,3
"469",613216,3
"470",613217,2
"471",613218,3
"472",613219,3
"473",613220,3
"474",613221,3
"475",613222,3
"476",613223,3
"477",613224,3
"478",613225,3
"479",613226,3
"480",613227,3
"481",613228,3
"482",613229,3
"483",613230,2
"484",613231,2
"485",613232,3
"486",613233,3
"487",613234,3
"488",613235,3
"489",613236,3
"490",613237,3
"491",613238,3
"492",613239,3
"493",613240,3
"494",613241,3
"495",613242,3
"496",613243,3
"497",613244,3
"498",613245,3
"499",613246,3
"500",613247,3
"501",613248,3
"502",613249,3
"503",613250,3
"504",613251,3
"505",613252,3
"506",613253,3
"507",613254,1
"508",613255,1
"509",613256,1
"510",613257,2
"511",613258,3
"512",613259,2
"513",613260,2
"514",613261,2
"515",613262,1
"516",613263,1
"517",613264,1
"518",613265,2
"519",613266,2
"520",613267,2
"521",613268,2
"522",613269,3
"523",613270,3
"524",613271,3
"525",613272,3
"526",613273,1
"527",613274,3
"528",613275,3
"529",613276,3
"530",613277,3
"531",613278,2
"532",613279,3
"533",613280,3
"534",613281,3
"535",613282,3
"536",613283,3
"537",613284,3
"538",613285,3
"539",613286,3
"540",613287,3
"541",613288,3
"542",613289,2
"543",613290,3
"544",613291,2
"545",613292,2
"546",613293,3
"547",613294,3
"548",613295,3
"549",613296,3
"550",613297,3
"551",613298,3
"552",613299,3
"553",613300,3
"554",613301,3
"555",613302,3
"556",613303,3
"557",613304,3
"558",613305,2
"559",613306,3
"560",613307,3
"561",613308,3
"562",613309,2
"563",613310,3
"564",613311,3
"565",613312,3
"566",613313,3
"567",613314,3
"568",613315,3
"569",613316,2
"570",613317,3
"571",613318,2
"572",613319,3
"573",613320,3
"574",613321,3
"575",613322,3
"576",613323,3
"577",613324,3
"578",613325,3
"579",613326,3
"580",613327,3
"581",613328,3
"582",613329,3
"583",613330,3
"584",613331,3
"585",613332,3
"586",613333,3
"587",613334,3
"588",613335,3
"589",613336,3
"590",613337,3
"591",613338,3
"592",613339,3
"593",613340,3
"594",613341,3
"595",613342,2
"596",613343,3
"597",613344,3
"598",613345,3
"599",613346,3
"600",613347,3
"601",613348,3
"602",613349,3
"603",613350,3
"604",613351,3
"605",613352,3
"606",613353,2
"607",613354,1
"608",613355,4
"609",613356,1
"610",613357,4
"611",613358,1
"612",613359,4
"613",613360,4
